utterance_id,activation,valence,dominance,activation_norm,valence_norm,dominance_norm,source_file,emotion
Ses01F_script01_1_F000,4,4,3,0.75,0.75,0.5,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_F001,4,4,2,0.75,0.75,0.25,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_F002,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F003,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F004,4,4,2,0.75,0.75,0.25,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_F005,4,4,2,0.75,0.75,0.25,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_F006,3,4,3,0.5,0.75,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F007,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F008,3,4,3,0.5,0.75,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F009,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F010,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F011,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F012,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F013,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F014,4,3,3,0.75,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F015,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F016,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F017,3,4,3,0.5,0.75,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F018,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F019,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F020,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F021,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F022,2,3,3,0.25,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F023,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F024,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F025,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F026,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F027,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F028,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F029,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F030,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F031,4,4,2,0.75,0.75,0.25,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_F032,4,4,3,0.75,0.75,0.5,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_F033,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F034,2,3,3,0.25,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F035,2,4,4,0.25,0.75,0.75,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_F036,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_F037,2,4,4,0.25,0.75,0.75,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_F038,2,4,4,0.25,0.75,0.75,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_F039,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F040,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F041,1,4,5,0.0,0.75,1.0,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_F042,1,4,5,0.0,0.75,1.0,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_F043,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_F044,4,4,1,0.75,0.75,0.0,Ses01F_script01_1_e1_atr.txt,excited
Ses01F_script01_1_M000,4,3,3,0.75,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M001,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M002,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M003,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M004,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M005,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M006,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M007,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M008,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M009,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M010,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M011,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M012,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M013,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M014,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M015,4,3,3,0.75,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M016,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M017,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M018,3,3,4,0.5,0.5,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M019,2,4,4,0.25,0.75,0.75,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_M020,2,3,4,0.25,0.5,0.75,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M021,3,4,3,0.5,0.75,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M022,2,4,4,0.25,0.75,0.75,Ses01F_script01_1_e1_atr.txt,content
Ses01F_script01_1_M023,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M024,4,3,2,0.75,0.5,0.25,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M025,4,3,3,0.75,0.5,0.5,Ses01F_script01_1_e1_atr.txt,neutral
Ses01F_script01_1_M026,3,4,4,0.5,0.75,0.75,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M027,3,3,3,0.5,0.5,0.5,Ses01F_script01_1_e1_atr.txt,happy
Ses01F_script01_1_M028,2,4,2,0.25,0.75,0.25,Ses01F_script01_1_e1_atr.txt,content
