emotion_model,classifier_type,accuracy,best_params
quadrant,random_forest,1.0,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
quadrant,svm,1.0,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}"
quadrant,mlp,1.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}"
custom,random_forest,1.0,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
custom,svm,1.0,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
custom,mlp,0.9982517482517482,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate': 'constant'}"
plutchik,random_forest,1.0,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
plutchik,svm,1.0,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
plutchik,mlp,1.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}"
ekman,random_forest,1.0,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}"
ekman,svm,1.0,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
ekman,mlp,1.0,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant'}"
